accuracy	aimTime	alpha1	alpha2	alpha3	backwardSpeed	base_capture_points	base_defense_points	base_xp	battles	bigImage	big_image	caliber	class	damage	damage_blocked	damage_received	direct_hits	distance_traveled	dpm1	dpm2	dpm3	forwardSpeed	frags	gunDepression	gunElevation	hit_rate	hp	image	intraClipReload	isPrem	life_time	maxAmmo	name	nation	pen1	pen2	pen3	pen_rate	penetrations	player_winrate	player_wn8	potentialDamage	potential_damage_received	power	reload	shell1	shell2	shell3	shellVelocity1	shellVelocity2	shellVelocity3	shots_fired	sniper_damage	specificPower	spots	spotting_assist	survival	tank_id	tier	tracking_assist	traverseSpeed	turretTraverseDispersion	turretTraverseSpeed	vehicleMovementDispersion	vehicleRotationDispersion	viewRange	weight	winrate	winrate_differential	wn8	wnx
0.42	2.4	9	6	16	21	0.37	0.16	439	334367	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/czech-Cz24_Vz_64_Blesk.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/czech-Cz24_Vz_64_Blesk.png	37	LT	724	1	1118	132.97	1414	2231.2958435207825	1487.5305623471884	3966.748166259169	60	0.54	10	25	56.16	1200	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/czech-Cz24_Vz_64_Blesk.png	0.03076923076923077	False	210	1664	Blesk	Czech	163	217	37	62.96	83.73	49.53	1233	14976	1078	420	22	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	900	1120	720	236.77	102	28.522920203735143	2.04	570	13.59	4721	8	15	43	0.1	50	0.14	0.14	380	14725	47.56	-1.97	1268	1324
0.33	1.4	330	330	430	25	0.38	0.42	577	546832	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/germany-G188_LeKpz_Borkenkafer.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/germany-G188_LeKpz_Borkenkafer.png	105	LT	1705	6	1712	6.62	2162	2475	2475	3225	75	0.79	12	18	75.16	1900	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G188_LeKpz_Borkenkafer.png		False	288	35	Borkenkäfer	Germany	244	285	120	74.14	4.91	53.22	1964	11550	1445	900	8	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1200	900	700	8.81	554	45.68527918781726	3.26	1574	25.99	41233	11	69	55	0.08	44	0.1	0.1	420	19700	49.47	-3.75	1857	1805
0.42	3.5	360	360	440	23	0.4	0.36	576	1043383	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/france-F116_Bat_Chatillon_Bourrasque.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/france-F116_Bat_Chatillon_Bourrasque.png	105	MT	1504	4	1099	5.73	1743	1800	1800	2200	62	1.01	6	13	73.81	1250	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F116_Bat_Chatillon_Bourrasque.png	2	True	280	36	Bourrasque	France	190	240	53	80.02	4.58	51.49	1669	12960	1082	310	22	ARMOR_PIERCING_CR	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1000	1250	900	7.76	441	26.371756699276904	1.69	584	25.86	60225	8	47	40	0.1	55	0.1	0.1	390	11755	51.6	0.11	1795	1828
0.3	1.7	480	480	620	12	1	0.2	590	335333	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/uk-GB152_AT_FV230_Breaker.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB152_AT_FV230_Breaker.png	123	TD	2284	1553	1889	8.06	1116	3555.5555555555557	3555.5555555555557	4592.592592592593	20	0.85	10	20	76.18	2150	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB152_AT_FV230_Breaker.png		False	322	60	Breaker	UK	278	326	130	62.49	5.04	51.14	1523	28800	3407	750	8.1	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1000	1250	1000	10.59	428	10.760401721664275	0.59	350	33.74	24401	11	80	22	0.06	16	0.25	0.25	390	69700	51	-0.14	1410	1526
0.37	1.8	320	320	420	18	0.63	0.14	471	99853	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/france-F131_Brennos.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/france-F131_Brennos.png	105	HT	1092	459	1477	5.26	1205	1777.7777777777778	1777.7777777777778	2333.333333333333	40	0.55	10	20	73.5	1500	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F131_Brennos.png		True	259	50	Brennos	France	234	280	65	68.59	3.61	48.52	1287	16000	1992	1170	10.8	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1080	1280	1080	7.15	203	18.076477404403246	1	236	19.72	66881	8	39	42	0.08	33	0.12	0.12	380	64725	48.63	0.11	1079	1097
0.35	2.3	135	135	175	20	0.79	0.3	451	25519	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/france-F113_Bretagne_Panther.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/france-F113_Bretagne_Panther.png	75	MT	777	196	842	7.69	1240	1928.5714285714284	1928.5714285714284	2500	55	0.79	8	18	64.53	940	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F113_Bretagne_Panther.png		True	259	79	Bret. Panther	France	150	194	38	77.03	5.92	49.24	1233	10665	1027	700	4.2	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	925	1156	925	11.92	229	15.478164731896076	1.01	229	23.42	60737	6	28	30	0.12	30	0.2	0.2	370	45225	50.99	1.75	1320	1299
0.35	1.7	175	175	260	24	0.43	0.12	404	69662	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/usa-A97_M41_Bulldog.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/usa-A97_M41_Bulldog.png	76	LT	519	9	1127	4.06	1471	2333.3333333333335	2333.3333333333335	3466.666666666667	68	0.38	10	20	67.73	1200	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A97_M41_Bulldog.png		False	202	65	Bulldog	USA	190	230	38	72.7	2.95	49.33	1133	11375	1120	800	4.5	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1219	975	975	5.99	131	34.45157400628741	2.59	673	12.12	17953	8	13	65	0.06	50	0.12	0.12	400	23221	46.41	-2.92	755	746
0.4	2.1	280	280	390	14	0.84	0.23	328	148306	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl32_SDP_Wz_44.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl32_SDP_Wz_44.png	100	TD	660	313	599	3.49	954	1999.9999999999998	1999.9999999999998	2785.7142857142853	50	0.64	7	15	58.9	700	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl32_SDP_Wz_44.png		False	275	44	Burza	Poland	182	220	53	76.87	2.68	48.73	994	12320	914	520	8.4	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	966	1030	846	5.92	260	14.974802015838733	0.38	101	24.98	6545	6	22	30	0.1	44	0.25	0.25	320	34725	48.48	-0.25	995	903
0.35	2.5	800	800	800	15	0.5	0.11	506	122562	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl29_NC_Wz_70T.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl29_NC_Wz_70T.png	85	TD	1756	932	1875	4.44	1200	3503.6496350364964	3503.6496350364964	3503.6496350364964	45	0.62	7	15	77.24	2000	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl29_NC_Wz_70T.png		False	274	60	Błyskawica	Poland	292	321	85	64.09	2.85	50.8	1440	48000	2823	900	13.7	ARMOR_PIERCING_CR	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1700	2000	1000	5.75	201	16.453382084095065	0.86	292	21.91	7057	10	49	30	0.08	26	0.18	0.18	370	54700	48.79	-2.01	1144	1311
0.42	2.7	490	490	640	10	0.96	0.18	516	185051	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/italy-It24_Controcarro_1_Mk2.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/italy-It24_Controcarro_1_Mk2.png	127	TD	1467	895	1560	5.49	1070	2450	2450	3200	30	0.69	10	20	73.9	1800	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/italy-It24_Controcarro_1_Mk2.png	8	False	310	40	CC-1 Mk. 2	Italy	250	325	127	63.71	3.5	49.13	1177	19600	2461	700	24	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1252	756	756	7.43	303	13.170272812793979	0.59	270	29.82	5537	9	48	28	0.04	18	0.16	0.16	380	53150	49.64	0.51	1170	1173
0.38	3.4	240	240	320	10	0.82	0.16	426	68644	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/france-F129_ARL_44_BPXIV.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/france-F129_ARL_44_BPXIV.png	90	HT	815	308	953	4.47	1007	1440	1440	1920	37	0.62	10	15	67.94	1000	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F129_ARL_44_BPXIV.png		True	242	50	CDT	France	212	259	45	81.58	3.64	48.38	1100	12000	1240	830	10	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1000	1250	1000	6.58	121	17.6859151928404	0.92	166	19.75	56897	6	26	29	0.2	22	0.24	0.24	350	46930	49.49	1.11	1218	1194
0.41	2.5	300	300	410	15	0.89	0.24	443	97804	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl20_CS_44.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl20_CS_44.png	100	MT	867	244	1064	4.7	1318	1417.3228346456694	1417.3228346456694	1937.0078740157483	57	0.67	6	15	66.57	1200	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl20_CS_44.png		False	273	40	CS-44	Poland	168	220	53	72.95	3.43	48.99	1150	12000	1299	550	12.7	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	966	846	846	7.05	199	18.456375838926174	0.98	273	24.1	4241	7	33	36	0.12	42	0.2	0.2	370	29800	49.91	0.92	1193	1172
0.39	2.5	300	300	410	17	0.52	0.17	521	13561	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl25_CS_52_C.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl25_CS_52_C.png	100	MT	1220	250	1215	5.54	1554	2222.222222222222	2222.222222222222	3037.037037037037	55	0.77	7	17	67.2	1350	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl25_CS_52_C.png		True	268	60	CS-52 C	Poland	208	270	53	74.83	4.15	51.23	1624	18000	1473	710	8.1	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1109	880	846	8.25	300	17.884130982367758	1.5	438	23.89	50577	8	39	44	0.14	50	0.12	0.12	380	39700	51.94	0.71	1639	1471
0.36	2.3	320	320	420	20	0.48	0.21	497	577536	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl19_CS_52_LIS.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl19_CS_52_LIS.png	105	MT	1209	325	1184	5.47	1462	2000	2000	2625	50	0.71	7	17	69.93	1300	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl19_CS_52_LIS.png		True	271	35	CS-52 LIS	Poland	208	252	53	73.68	4.03	49.92	1375	11200	1562	720	9.6	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	980	1569	822	7.82	332	19.834710743801654	1.02	338	22.44	51089	8	45	40	0.08	43	0.14	0.14	380	36300	50.13	0.21	1334	1256
0.36	2.3	300	300	410	17	0.68	0.16	434	156476	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl23_CS_53.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl23_CS_53.png	100	MT	922	156	1282	4.55	1312	2093.0232558139533	2093.0232558139533	2860.4651162790697	50	0.55	8	15	65.68	1450	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl23_CS_53.png		False	270	40	CS-53	Poland	218	290	53	71.84	3.27	48.98	1181	12000	1477	710	8.6	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	966	846	846	6.93	243	17.92929292929293	0.82	303	21.34	4497	8	36	44	0.1	40	0.18	0.18	380	39600	47.61	-1.37	1123	931
0.38	2.5	390	390	510	18	0.67	0.23	507	156413	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl22_CS_59.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl22_CS_59.png	105	MT	1397	291	1634	5.78	1424	2659.090909090909	2659.090909090909	3477.272727272727	50	0.73	9	20	68.49	1850	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl22_CS_59.png		False	290	40	CS-59	Poland	252	293	53	71.55	4.13	49.41	1280	15600	1913	700	8.8	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1050	1360	1025	8.43	374	18.134715025906736	0.91	389	25.45	8081	9	54	45	0.1	47	0.15	0.15	390	38600	49.22	-0.19	1259	1203
0.36	2.3	390	390	510	15	0.44	0.27	547	1559630	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl21_CS_63.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl21_CS_63.png	105	MT	1938	339	1801	6.96	1640	2752.9411764705883	2752.9411764705883	3600	55	0.82	8	20	72.75	2000	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl21_CS_63.png		False	283	50	CS-63	Poland	258	315	53	74.82	5.21	51.64	1637	19500	2086	740	8.5	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1241	1410	1025	9.56	593	18.249075215782984	1.47	544	26.07	5265	10	77	48	0.06	50	0.12	0.12	400	40550	50.94	-0.7	1531	1523
0.34	2.1	280	280	370	12	0.85	0.12	499	140292	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/uk-GB11_Caernarvon.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB11_Caernarvon.png	94	HT	1070	761	1656	7.41	1080	2584.6153846153843	2584.6153846153843	3415.3846153846152	34.3	0.58	10	18	72.17	1750	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB11_Caernarvon.png		False	272	50	Caernarvon	UK	220	252	47	58.86	4.36	48.62	1075	14000	2445	900	6.5	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	878	1098	878	10.27	152	14.651776120860873	0.87	264	22.89	3921	8	45	30	0.12	30	0.16	0.16	400	61426	48.87	0.25	1113	1092
0.32	2.3	230	230	280	12	0.61	0.1	509	48132	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/uk-GB93_Caernarvon_AX.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB93_Caernarvon_AX.png	83.4	HT	1027	711	1459	7.4	1074	2338.9830508474574	2338.9830508474574	2847.457627118644	36.3	0.52	10	20	72	1500	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB93_Caernarvon_AX.png		True	251	50	Caernarvon AX	UK	226	258	42	62.56	4.63	49.46	1243	11500	2214	950	5.9	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1020	1275	1020	10.28	156	14.683153013910356	1.02	256	18.09	56657	8	41	28	0.16	36	0.16	0.16	380	64700	48	-1.46	1099	985
0.58	4.1	850	600		12	0.89	0.11	531	40753	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/uk-GB112_Caliban.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB112_Caliban.png	152.4	HT	1287	394	1354	3.19	1160	2040	1440		33	0.78	10	12	70.18	1500	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB112_Caliban.png	3.75	True	295	25	Caliban	UK	180	292		64.61	2.06	50	1388	21250	1774	750	25	HIGH_EXPLOSIVE	ARMOR_PIERCING		354	500		4.55	111	18.57907253269917	0.73	235	27.14	51537	8	35	30	0.2	23	0.38	0.38	370	40368	50.31	0.31	1441	1322
0.33	2	420	420	520	12	0.67	0.14	575	2088405	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/uk-GB142_FV230_Canopener.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB142_FV230_Canopener.png	120	HT	2043	1326	2149	7.97	1190	2520	2520	3120	34	0.7	10	20	78.87	2250	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB142_FV230_Canopener.png		False	295	80	Canopener	UK	258	318	60	64.04	5.1	50.92	1473	33600	3438	1250	10	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1050	1280	1050	10.11	215	13.935340022296543	0.87	353	27.63	21841	10	67	22	0.12	30	0.16	0.16	390	89700	49.74	-1.18	1356	1366
0.38	3	400	400	515	23	0.46	0.26	571	125117	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/italy-It20_Carro_Combattimento_45t.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/italy-It20_Carro_Combattimento_45t.png	120	MT	2157	584	1690	7.61	1558	2400	2400	3090	55	0.96	9	15	77.11	1900	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/italy-It20_Carro_Combattimento_45t.png	4	True	291	60	Carro 45 t	Italy	248	320	60	75.34	5.73	51.82	1713	24000	2248	800	10	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	960	1219	762	9.87	540	17.89709172259508	1.05	475	27.6	50849	10	90	43	0.12	31	0.16	0.16	400	44700	51.7	-0.12	1624	1650
0.38	2.3	240	240	320	12	1.16	0.16	450	57307	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/italy-It16_Carro_d_assalto_P88.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/italy-It16_Carro_d_assalto_P88.png	90	HT	885	429	1175	5.78	1085	1694.1176470588234	1694.1176470588234	2258.823529411765	35	0.62	8	20	70.91	1300	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/italy-It16_Carro_d_assalto_P88.png		False	275	45	Carro P.88	Italy	202	235	45	68.14	3.94	48.25	993	10800	1601	650	8.5	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1050	1100	1000	8.15	116	14.476614699331849	0.75	203	25.02	3233	7	33	29	0.12	31	0.22	0.22	350	44900	48.99	0.74	1081	1025
0.36	1.7	75	75	100	18	0.87	0.29	281	25014	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/uk-GB107_Cavalier.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB107_Cavalier.png	57	MT	440	65	635	8.38	1159	2142.8571428571427	2142.8571428571427	2857.142857142857	46	0.61	12	20	61.99	700	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB107_Cavalier.png		False	235	115	Cavalier	UK	110	180	30	71.46	5.99	47.98	964	8625	682	475	2.1	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	892	1115	892	13.52	100	18.52285134924349	0.94	160	18.97	16209	5	14	33	0.1	46	0.24	0.24	350	25644	48.52	0.54	936	1028
0.36	2.1	150	150	190	20	0.82	0.44	497	1653	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/uk-GB149_Centurion_MkI_A.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB149_Centurion_MkI_A.png	76.2	MT	993	234	1026	8.71	1319	1800	1800	2280	50	0.8	12	20	68.29	1150	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB149_Centurion_MkI_A.png		True	275	75	Cent Gloriana	UK	171	239	38	78.14	6.8	52.14	1577	11250	1259	650	5	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	884	1105	884	12.75	277	15.393724097098875	1.01	297	25.35	22609	7	35	34	0.1	38	0.14	0.14	380	42225	50.7	-1.44	1455	1526
0.33	2.3	230	230	280	20	0.62	0.17	510	26970	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/uk-GB94_Centurion_Mk5-1_RAAC.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB94_Centurion_Mk5-1_RAAC.png	83.4	MT	1015	664	1253	6.56	1356	1840	1840	2240	50	0.59	10	18	67.56	1400	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB94_Centurion_Mk5-1_RAAC.png		True	278	65	Centurion 5/1	UK	226	258	42	69.67	4.57	49.42	1241	14950	1949	950	7.5	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1020	1275	1020	9.71	257	18.73767258382643	1.08	386	24	56913	8	41	36	0.14	36	0.14	0.14	400	50700	50.25	0.83	1223	1042
0.32	2.3	390	480	480	20	0.58	0.22	523	202104	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/uk-GB24_Centurion_Mk3.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB24_Centurion_Mk3.png	105	MT	1430	573	1596	6.37	1455	2089.2857142857147	2571.4285714285716	2571.4285714285716	50	0.72	10	18	70.35	1800	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB24_Centurion_Mk3.png		False	293	72	Centurion 7/1	UK	268	210	105	67.94	4.33	49.69	1281	28080	2157	1040	11.2	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	HIGH_EXPLOSIVE	1478	1173	1173	9.05	400	20.036991368680642	1.03	417	26.39	5713	9	51	32	0.18	36	0.12	0.12	410	51904	49.9	0.21	1317	1239
0.32	2.1	390	390	480	20	0.34	0.22	528	459387	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/uk-GB86_Centurion_Action_X.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB86_Centurion_Action_X.png	105	MT	1856	494	1787	7.25	1534	2925	2925	3600	55	0.74	10	20	72.69	1950	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB86_Centurion_Action_X.png		False	281	68	Centurion AX	UK	268	330	105	68.59	4.97	50.8	1474	26520	2251	1040	8	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1478	1173	1173	9.97	588	19.012797074954296	1.1	453	24.17	7249	10	73	50	0.08	48	0.1	0.1	410	54700	49.37	-1.43	1418	1336
0.33	2.3	230	230	280	20	0.72	0.17	462	119741	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/uk-GB23_Centurion.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB23_Centurion.png	83.4	MT	930	465	1438	6.5	1346	2156.25	2156.25	2625	50	0.57	10	18	66.42	1600	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB23_Centurion.png		False	276	65	Centurion I	UK	226	258	42	68.72	4.47	48.68	1103	14950	1928	850	6.4	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1020	1275	1020	9.79	234	19.051461359153667	0.96	341	23.03	5969	8	34	36	0.12	36	0.14	0.14	400	44616	48.53	-0.15	1101	993
0.39	1.6	115	115	175	21	0.83	0.34	334	40270	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/usa-A34_M24_Chaffee.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/usa-A34_M24_Chaffee.png	75	LT	487	30	554	5.57	1471	1682.9268292682927	1682.9268292682927	2560.9756097560976	65	0.7	10	15	66.59	610	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A34_M24_Chaffee.png		False	221	60	Chaffee	USA	118	159	38	79.58	4.43	48.99	1111	6900	562	500	4.1	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	890	1089	604	8.37	108	27.560357182229083	2.2	300	19.26	9761	5	20	42	0.08	44	0.13	0.13	360	18142	50.34	1.35	1829	1193
0.38	1.5	110	110	175	20	0.84	0.29	341	10450	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/usa-A160_M24_594.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/usa-A160_M24_594.png	75	LT	399	21	498	5.07	1122	1499.9999999999998	1499.9999999999998	2386.363636363636	56	0.53	10	15	64.59	550	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A160_M24_594.png		True	221	60	Chaffee 594	USA	96	143	38	74.36	3.77	48.51	1106	6600	511	296	4.4	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	619	869	604	7.85	98	15.786666666666667	1.69	265	18.7	50209	5	19	50	0.08	44	0.13	0.13	360	18750	48.52	0.01	1005	1032
0.42	2	110	110	175	21	0.66	0.4	421	6795	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/usa-A34_M24_Chaffee_CFE_V.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/usa-A34_M24_Chaffee_CFE_V.png	75	LT	489	28	502	5.86	1489	1375	1375	2187.5	62	0.73	10	15	68.12	550	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A34_M24_Chaffee_CFE_V.png		True	224	60	Chaffee Camo	USA	96	143	38	78.32	4.59	50.55	1428	6600	512	500	4.8	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	619	869	604	8.61	105	27.592296230892334	2.75	396	19.88	67105	5	21	42	0.08	44	0.13	0.13	360	18121	51.2	0.65	1287	1471
