accuracy	aimTime	alpha1	alpha2	alpha3	backwardSpeed	bigImage	caliber	class	dpm1	dpm2	dpm3	forwardSpeed	gunDepression	gunElevation	hp	image	intraClipReload	isPrem	maxAmmo	name	nation	pen1	pen2	pen3	potentialDamage	power	reload	shell1	shell2	shell3	shellVelocity1	shellVelocity2	shellVelocity3	specificPower	tank_id	tier	traverseSpeed	turretTraverseDispersion	turretTraverseSpeed	vehicleMovementDispersion	vehicleRotationDispersion	viewRange	weight
0.35	2	300	300	400	18	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R173_K_91_2.png	100	MT	2500	2500	3333.3333333333335	55	6	20	1500	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R173_K_91_2.png		True	55	K-91-2	USSR	248	300	50	16500	900	7.2	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1450	900	800	19.06779661016949	30977	9	50	0.1	45	0.16	0.16	390	47200
0.38	2.4	600	770	770	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/uk-GB81_FV4004.png	139.7	TD	2500	3208.3333333333335	3208.3333333333335	50	10	15	1600	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB81_FV4004.png		False	30	Conway	UK	260	200	70	18000	950	14.4	ARMOR_PIERCING	HIGH_EXPLOSIVE	HIGH_EXPLOSIVE	850	850	850	19.10354119326751	13137	9	44	0.14	18	0.27	0.27	380	49729
0.33	2	400	400	515	12	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/uk-GB91_Super_Conqueror.png	120	HT	2500	2500	3218.75	34.3	10	15	2300	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB91_Super_Conqueror.png		False	40	S. Conqueror	UK	259	326	120	16000	1120	9.6	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1067	1334	1067	14.602346805736635	15697	10	26	0.1	32	0.12	0.12	400	76700
0.4	3	700	700	900	12	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/germany-G186_Schwertwal.png	150	HT	2500	2500	3214.285714285714	30	8	20	2500	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G186_Schwertwal.png		True	50	Schwertwal	Germany	259	325	85	35000	1080	16.8	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	800	700	700	12.040133779264215	31249	10	23	0.1	20	0.22	0.22	390	89700
0.36	2.7	750	750	1100	8	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/usa-A85_T110E3.png	155	TD	2500	2500	3666.666666666667	24	8	16	1950	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A85_T110E3.png		False	27	T110E3	USA	295	375	90	20250	875	18	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	870	1088	870	11.755854415498918	13857	10	24	0.08	26	0.22	0.22	370	74431
0.27	1.5	750	750	950	15	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/germany-G121_Grille_15_L63.png	150	TD	2500	2500	3166.666666666667	60	7	15	1800	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G121_Grille_15_L63.png		False	30	Grille 15	Germany	279	334	75	22500	850	18	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1200	900	1000	21.410579345088163	19217	10	28	0.4	20	0.26	0.3	390	39700
0.33	2	320	320	420	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/germany-G105_T-55_NVA_DDR.png	100	MT	2493.5064935064934	2493.5064935064934	3272.7272727272725	50	5	14.25	1750	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G105_T-55_NVA_DDR.png		True	43	T 55A	Germany	221	330	50	13760	750	7.7	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1070	895	895	20.161290322580644	60945	9	50	0.1	46	0.12	0.12	395	37200
0.37	2.3	440	440	530	17	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/usa-A143_M_V_Y.png	120	HT	2490.5660377358495	2490.5660377358495	3000.0000000000005	40	12	18	2200	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A143_M_V_Y.png		False	38	M-V-Y	USA	260	310	60	16720	750	10.6	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1120	1120	900	18.576771604785375	21537	10	30	0.08	37	0.16	0.16	400	40373
0.38	1.8	390	390	480	23	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/china-Ch29_Type_62C_prot.png	105	LT	2489.3617021276596	2489.3617021276596	3063.8297872340427	70	5	20	1700	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch29_Type_62C_prot.png		False	40	WZ-132-1	China	246	280	53	15600	1080	9.4	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1200	800	732	36.36363636363637	5937	10	60	0.06	43	0.12	0.12	400	29700
0.36	2	240	240	320	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/france-F65_FCM_50t.png	90	HT	2482.7586206896553	2482.7586206896553	3310.344827586207	51	10	17	1500	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F65_FCM_50t.png		True	91	FCM 50 t	France	212	259	45	21840	1250	5.8	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1000	1250	1000	23.17389692250649	64065	8	40	0.08	36	0.16	0.16	400	53940
0.33	1.4	330	330	430	25	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/germany-G188_LeKpz_Borkenkafer.png	105	LT	2475	2475	3225	75	12	18	1900	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G188_LeKpz_Borkenkafer.png		False	35	Borkenkäfer	Germany	244	285	120	11550	900	8	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1200	900	700	45.68527918781726	41233	11	55	0.08	44	0.1	0.1	420	19700
0.4	3	390	390	530	16	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/china-Ch35_T-34-2G_FT.png	122	TD	2463.157894736842	2463.157894736842	3347.3684210526317	50	5	15	900	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch35_T-34-2G_FT.png		False	30	T-34-2G FT	China	192	250	61	11700	520	9.5	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	800	640	800	16.390858944050432	7729	7	40	0.1	30	0.2	0.2	360	31725
0.54	2.6	410	350		12	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/france-F11_Renault_G1R.png	105	MT	2460	2100		40	8	15	600	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F11_Renault_G1R.png		False	42	G1 R	France	53	104		17220	450	10	HIGH_EXPLOSIVE	HOLLOW_CHARGE		670	536		13.04726007538417	4417	5	30	0.18	28	0.26	0.26	350	34490
0.48	2.9	450	370		14	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R13_KV-1s.png	122	HT	2454.5454545454545	2018.181818181818		43	5	20	1150	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R13_KV-1s.png		False	85	KV-1S	USSR	61	150		38250	660	11	HIGH_EXPLOSIVE	HOLLOW_CHARGE		515	412		15.035881079849641	18689	6	38	0.14	31	0.2	0.2	340	43895
0.33	2	450	450	540	15	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/czech-Cz21_Vz_60S_Dravec.png	122	HT	2454.5454545454545	2454.5454545454545	2945.454545454545	45	8	20	2200	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/czech-Cz21_Vz_60S_Dravec.png		True	40	Dravec	Czech	264	315	61	18000	1000	11	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	970	1190	970	17.33102253032929	7281	10	35	0.12	25	0.17	0.17	390	57700
0.35	2.7	1050	1050	1400	12	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/germany-G72_JagdPz_E100.png	170	TD	2451.3618677042805	2451.3618677042805	3268.4824902723735	30	6	17	2200	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G72_JagdPz_E100.png		False	24	Jg.Pz. E 100	Germany	299	420	85	25200	1200	25.7	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	925	925	925	8.979347500748279	12049	10	20	0.2	26	0.18	0.18	390	133640
0.42	2.7	490	490	640	10	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/italy-It24_Controcarro_1_Mk2.png	127	TD	2450	2450	3200	30	10	20	1800	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/italy-It24_Controcarro_1_Mk2.png	8	False	40	CC-1 Mk. 2	Italy	250	325	127	19600	700	24	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1252	756	756	13.170272812793979	5537	9	28	0.04	18	0.16	0.16	380	53150
0.38	2.1	400	400	515	12	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/usa-A68_T28_Prototype.png	120	TD	2448.9795918367345	2448.9795918367345	3153.0612244897957	32	10	15	1400	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A68_T28_Prototype.png		False	40	T28 Prototype	USA	248	297	60	16000	830	9.8	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	945	1181	945	12.564525651311707	11297	8	24	0.12	18	0.2	0.2	380	66059
0.36	2.3	400	400	515	14	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/france-F132_Vercingetorix.png	120	MT	2448.9795918367345	2448.9795918367345	3153.0612244897957	45	8	15	1750	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F132_Vercingetorix.png		True	40	Vercingétorix	France	253	297	60	16000	1000	9.8	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1020	1240	1020	16.75041876046901	66369	9	40	0.1	35	0.18	0.18	390	59700
0.35	2.3	420	420	530	14	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/japan-J33_Ho_Ri_2.png	120	TD	2446.6019417475723	2446.6019417475723	3087.3786407766984	30	8	15	1400	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/japan-J33_Ho_Ri_2.png		False	40	Ho-Ri 2	Japan	264	285	80	16800	650	10.3	ARMOR_PIERCING	ARMOR_PIERCING	HIGH_EXPLOSIVE	900	1000	900	16.32755589047978	6497	8	32	0.1	28	0.16	0.16	360	39810
0.35	1.7	220	220	270	14	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/germany-G17_JagdPzIV.png	88	TD	2444.4444444444443	2444.4444444444443	3000	40	6	15	670	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G17_JagdPzIV.png		False	50	Jg.Pz. IV	Germany	160	198	44	11000	480	5.4	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	890	1080	890	19.607843137254903	1553	6	52	0.08	26	0.2	0.2	350	24480
0.3	2.1	390	390	510	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/germany-G54_E-50.png	105	MT	2437.5	2437.5	3187.5	60	8	20	1800	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G54_E-50.png		False	48	E 50	Germany	230	270	60	18720	1000	9.6	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1200	1500	1200	16.051364365971107	10257	9	44	0.08	30	0.14	0.14	400	62300
0.42	2.8	690	690	890	15	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/china-Ch67_BZ_79.png	152	HT	2435.2941176470586	2435.2941176470586	3141.176470588235	30	8	20	2740	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch67_BZ_79.png		False	30	BZ-79	China	260	325	90	20700	850	17	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1150	950	860	13.13755795981453	10801	11	30	0.133	24	0.2	0.2	390	64700
0.32	2.5	280	280	370	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/germany-G106_PzKpfwPanther_AusfF.png	88	MT	2434.782608695652	2434.782608695652	3217.391304347826	46	8	13	1500	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G106_PzKpfwPanther_AusfF.png		True	56	Panther 8,8	Germany	203	237	44	15680	700	6.9	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1000	1250	1000	15.143320713899405	60177	8	40	0.14	32	0.16	0.16	390	46225
0.38	2.5	320	320	420	30	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/germany-G184_Windhund.png	105	TD	2430.379746835443	2430.379746835443	3189.8734177215188	50	1	0	1300	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G184_Windhund.png		True	50	Windhund	Germany	271	315	53	16000	700	7.9	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1100	1300	1100	22.06461780929866	30993	8	44	0.1	44	0.3	0.2	350	31725
0.42	2.5	390	390	530	18	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R96_Object_430.png	122	MT	2412.3711340206187	2412.3711340206187	3278.350515463918	50	5	16.2	1800	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R96_Object_430.png		False	40	Obj. 430	USSR	238	270	61	15600	520	9.7	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	880	1000	880	14.946823799942512	21505	9	60	0.12	38	0.16	0.16	390	34790
0.3	2.1	490	490	630	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/germany-G114_Skorpian.png	128	TD	2409.8360655737706	2409.8360655737706	3098.360655737705	60	7	14	1150	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G114_Skorpian.png		True	30	Skorpion	Germany	246	311	65	14700	650	12.2	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	920	1150	920	17.125543406665788	62481	8	30	0.16	18	0.26	0.26	360	37955
0.3	2.1	490	490	630	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/germany-G114_Rheinmetall_Skorpian.png	128	TD	2409.8360655737706	2409.8360655737706	3098.360655737705	60	7	14	1150	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G114_Rheinmetall_Skorpian.png		True	30	Skorpion G	Germany	246	311	65	14700	650	12.2	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	920	1150	920	17.125543406665788	50193	8	30	0.16	18	0.26	0.26	360	37955
0.4	1.7	280	280	380	18	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/germany-G142_M48RPz.png	90	MT	2400	2400	3257.142857142857	40	9	19	1500	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G142_M48RPz.png		True	64	M48 RPz	Germany	212	255	45	17920	750	7	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	972	1177	853	15.082956259426847	46609	8	35	0.1	30	0.14	0.14	380	49725
0.35	1.5	200	200	320	25	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/germany-G154_Kpz_07_RH_LN.png	90	MT	2400	2400	3840	65	9	15	1350	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G154_Kpz_07_RH_LN.png		True	80	มังกรขาว	Germany	205	255	90	16000	700	5	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	962	870	853	23.569023569023567	30225	8	55	0.1	50	0.14	0.14	390	29700
0.35	2	320	320	420	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R60_Object416.png	100	MT	2400	2400	3150	55	4	15	1450	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R60_Object416.png		False	35	Obj. 416	USSR	216	330	50	11200	440	8	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	895	895	895	18.545837723919917	13313	8	52	0.12	40	0.12	0.12	380	23725
0.37	2.3	400	400	515	12	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/usa-A66_M103.png	120	HT	2400	2400	3090	34	8	15	1950	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A66_M103.png		False	45	M103	USA	258	340	60	18000	920	10	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1067	1067	1067	16.31523878770682	9505	9	27	0.06	26	0.16	0.16	390	56389
0.37	2.3	320	320	420	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R194_ST_62_var_2.png	100	MT	2400	2400	3150	50	6	20	1950	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R194_ST_62_var_2.png	2	True	50	ST-62 Ver. 2	USSR	260	330	50	16000	700	8	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1320	950	950	18.56763925729443	35329	10	55	0.1	50	0.14	0.14	390	37700
0.33	1.4	320	320	420	25	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/germany-G125_Spz_57_Rh.png	105	LT	2400	2400	3150	75	10	15	1800	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G125_Spz_57_Rh.png		False	35	Rhm. Pzw.	Germany	242	280	120	11200	1100	8	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1200	900	700	44.534412955465584	19985	10	54	0.08	44	0.1	0.1	420	24700
0.36	2.5	560	560	640	15	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/france-F82_AMX_M4_Mle1949_Ter.png	130	HT	2400	2400	2742.8571428571427	35	8	15	2200	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F82_AMX_M4_Mle1949_Ter.png		False	30	AMX M4 54	France	250	296	65	16800	1200	14	ARMOR_PIERCING	ARMOR_PIERCING	HIGH_EXPLOSIVE	960	1150	840	15.0564617314931	16961	10	28	0.14	32	0.16	0.16	390	79700
0.38	2.4	440	440	530	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/china-Ch18_WZ-120.png	122	MT	2400	2400	2890.9090909090905	60	5.5	15	1800	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch18_WZ-120.png		False	40	WZ-120	China	249	340	68	17600	650	11	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	950	950	950	17.615176151761517	1841	9	55	0.12	42	0.14	0.14	390	36900
0.34	2.1	420	420	530	14	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/usa-A179_Black_Rock.png	114	HT	2400	2400	3028.5714285714284	43	8	20	2400	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A179_Black_Rock.png		True	50	Black Rock	USA	278	330	57	21000	950	10.5	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1100	900	1100	17.36745886654479	67361	11	33	0.1	35	0.166	0.166	400	54700
0.24	2.2	400	400	515	14	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/japan-J41_Type_68.png	120	HT	2400	2400	3090	35	8	20	1950	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/japan-J41_Type_68.png		False	45	Type 68	Japan	250	311	60	18000	1000	10	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1050	1250	1050	17.035775127768314	8801	9	30	0.1	35	0.16	0.16	390	58700
0.38	3	400	400	515	23	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/italy-It20_Carro_Combattimento_45t.png	120	MT	2400	2400	3090	55	9	15	1900	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/italy-It20_Carro_Combattimento_45t.png	4	True	60	Carro 45 t	Italy	248	320	60	24000	800	10	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	960	1219	762	17.89709172259508	50849	10	43	0.12	31	0.16	0.16	400	44700
0.35	1.5	200	200	320	25	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/germany-G154_Kpz_07_RH.png	90	MT	2400	2400	3840	65	9	15	1350	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G154_Kpz_07_RH.png		True	80	Kpz 07 RH	Germany	205	255	90	16000	700	5	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	962	870	853	23.569023569023567	45841	8	55	0.1	50	0.14	0.14	390	29700
0.35	2.2	440	440	530	15	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R110_Object_260.png	122	HT	2400	2400	2890.9090909090905	60	6	15	2100	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R110_Object_260.png		True	40	Obj. 260	USSR	260	340	68	17600	1200	11	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1259	900	700	19.672131147540984	58369	10	28	0.06	26	0.15	0.15	400	61000
0.36	2.8	560	560	660	18	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/china-Ch36_WZ111_1G_FT.png	130	TD	2400	2400	2828.5714285714284	35	6	15	1300	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch36_WZ111_1G_FT.png		False	25	WZ-111-1 FT	China	271	340	65	14000	700	14	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	930	930	930	15.659955257270694	7985	8	30	0.1	26	0.24	0.24	370	44700
0.38	2.5	560	560	700	17	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R196_Object_452K.png	130	HT	2400	2400	3000	40	7	20	2400	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R196_Object_452K.png		True	30	Obj. 452K	USSR	260	320	65	16800	880	14	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1000	950	950	16.087751371115175	55809	10	30	0.08	25	0.18	0.18	390	54700
0.35	2	280	280	370	15	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/germany-G177_E65_Zwilling.png	88	HT	2400	2400	3171.4285714285716	38	9	19	1500	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G177_E65_Zwilling.png		True	60	E 65 Zwilling	Germany	221	273	44	16800	1000	7	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1000	1250	1000	15.44998068752414	30481	8	27	0.1	25	0.17	0.17	380	64725
0.38	2.2	390	390	530	16	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/czech-Cz37_SDT_58_Vlkodav.png	105	MT	2387.7551020408164	2387.7551020408164	3244.8979591836733	50	8	20	1700	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/czech-Cz37_SDT_58_Vlkodav.png		True	40	Vlkodav	Czech	245	294	53	15600	950	9.8	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	920	1130	920	19.10507792860734	7537	9	45	0.1	35	0.18	0.18	380	49725
0.31	2	420	420	510	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/germany-G91_Pro_Ag_A.png	105	MT	2377.3584905660377	2377.3584905660377	2886.7924528301887	65	8	20	1700	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G91_Pro_Ag_A.png		False	58	Leopard PT A	Germany	278	323	105	24360	800	10.6	ARMOR_PIERCING_CR	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1480	1613	1173	20.58142526369951	14865	9	44	0.12	35	0.2	0.2	400	38870
0.48	3.2	700	700	910	12	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R18_SU-152.png	152	TD	2372.8813559322034	2372.8813559322034	3084.7457627118647	43	6	18	900	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R18_SU-152.png		False	26	SU-152	USSR	190	240	86	18200	670	17.7	HOLLOW_CHARGE	HOLLOW_CHARGE	HIGH_EXPLOSIVE	750	750	600	14.738231412230533	2305	7	32	0.08	26	0.21	0.21	330	45460
0.43	3.5	750	750	950	12	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R177_ISU_152K_BL10.png	152	TD	2368.421052631579	2368.421052631579	3000	40	5	11	1200	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R177_ISU_152K_BL10.png		True	20	ISU-152K	USSR	286	329	90	15000	600	19	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	880	1100	880	12.793176972281449	31745	8	22	0.16	18	0.22	0.22	350	46900
0.38	2.7	750	750	950	10	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/usa-A40_T95.png	155	TD	2368.421052631579	2368.421052631579	3000	20	5	20	1800	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A40_T95.png		False	30	T95	USA	276	320	90	22500	780	19	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	870	1088	870	8.917343089059106	8737	9	24	0.08	26	0.17	0.17	360	87470
0.38	2.5	750	750	1100	16	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/china-Ch37_WZ111G_FT.png	152	TD	2368.421052631579	2368.421052631579	3473.684210526316	35	6	15	1800	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch37_WZ111G_FT.png		False	30	WZ-111G FT	China	290	350	90	22500	700	19	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	960	760	760	14.084507042253522	8241	9	25	0.1	26	0.19	0.19	380	49700
0.57	2.9	450	370		10	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R80_KV1.png	122	HT	2368.4210526315787	1947.3684210526314		34	7	25	840	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R80_KV1.png		False	60	KV-1	USSR	61	140		27000	550	11.4	HIGH_EXPLOSIVE	HOLLOW_CHARGE		515	412		11.238250919493257	11777	5	24	0.16	24	0.25	0.25	310	48940
